County,Year,Fertility Rate
"Cabarrus County, NC",2009.0,2.24995582
"Cabarrus County, NC",2010.0,2.10386093
"Cabarrus County, NC",2011.0,2.0182854000000003
"Cabarrus County, NC",2012.0,1.9833809199999999
"Cabarrus County, NC",2013.0,1.9842528400000004
"Cabarrus County, NC",2014.0,1.9348985100000002
"Cabarrus County, NC",2015.0,1.98755642
"Cache County, UT",2014.0,2.49646086
"Cache County, UT",2015.0,2.55518913
"Caddo Parish, LA",2007.0,2.1556343500000006
"Caddo Parish, LA",2008.0,2.1401130300000006
"Caddo Parish, LA",2009.0,2.13888362
"Caddo Parish, LA",2010.0,2.1036040600000003
"Caddo Parish, LA",2011.0,2.06395245
"Caddo Parish, LA",2012.0,2.07179793
"Caddo Parish, LA",2013.0,2.107193640000001
"Caddo Parish, LA",2014.0,2.0465074199999997
"Caddo Parish, LA",2015.0,2.0376413600000003
"Calcasieu Parish, LA",2007.0,2.1363200100000004
"Calcasieu Parish, LA",2008.0,2.1155910199999997
"Calcasieu Parish, LA",2009.0,2.1118339899999996
"Calcasieu Parish, LA",2010.0,1.9201975599999996
"Calcasieu Parish, LA",2011.0,1.9579547000000004
"Calcasieu Parish, LA",2012.0,2.00883152
"Calcasieu Parish, LA",2013.0,1.98167794
"Calcasieu Parish, LA",2014.0,1.9724166399999998
"Calcasieu Parish, LA",2015.0,2.04595495
"Calhoun County, AL",2007.0,1.8882705000000002
"Calhoun County, AL",2008.0,1.81249578
"Calhoun County, AL",2009.0,1.7928593100000005
"Calhoun County, AL",2010.0,1.5580503399999996
"Calhoun County, AL",2011.0,1.7187125599999997
"Calhoun County, AL",2012.0,1.5747917700000007
"Calhoun County, AL",2013.0,1.6652465500000002
"Calhoun County, AL",2014.0,1.6180208999999994
"Calhoun County, AL",2015.0,1.7830987199999995
"Calhoun County, MI",2007.0,2.2192801899999997
"Calhoun County, MI",2008.0,2.0314864399999992
"Calhoun County, MI",2009.0,1.9989942799999993
"Calhoun County, MI",2010.0,1.9414671
"Calhoun County, MI",2011.0,1.9197474699999995
"Calhoun County, MI",2012.0,2.00207503
"Calhoun County, MI",2013.0,2.01434016
"Calhoun County, MI",2014.0,1.9504920399999999
"Calhoun County, MI",2015.0,1.9756694700000001
"Cambria County, PA",2007.0,1.9504480899999999
"Cambria County, PA",2008.0,1.82522178
"Cambria County, PA",2009.0,1.7431200399999998
"Cambria County, PA",2010.0,1.79692853
"Cambria County, PA",2011.0,1.71415124
"Cambria County, PA",2012.0,1.7234282400000003
